FundDWID|ProjectID|FundName|Type|Amount
2793|44423|9% Tax Credit Equity|LIHTC Equity|8400970
1571|44423|HOME|Loan|289069
3188|44423|NSP 1|Loan|1145931
5392|44423|NSP 3|Loan|1500000
4554|44423|NSP 2|Loan|1145931
2395|47822|City Capital|Loan|593475
2369|47873|City Capital|Loan|315211
2270|47866|City Capital|Loan|540000
2362|47867|City Capital|Loan|997125
3458|48126|4% Tax Credit Equity|LIHTC Equity|21698350
2364|47882|City Capital|Loan|9849071
4337|47882|4% Tax Credit Equity|LIHTC Equity|22961085
2295|44373|City Capital|Loan|3000000
2660|44373|9% Tax Credit Equity|LIHTC Equity|29775759
1438|44373|HOME|Loan|9972339
3867|45961|4% Tax Credit Equity|LIHTC Equity|10432724
2689|48086|9% Tax Credit Equity|LIHTC Equity|18053528
2271|47831|City Capital|Loan|659307
2321|48390|City Capital|Loan|396726
2267|48060|City Capital|Loan|248942
1810|47798|City Capital|Loan|35000
2508|48521|City Capital|Loan|4204911
2252|48532|City Capital|Loan|15290806
3482|48532|4% Tax Credit Equity|LIHTC Equity|1200000
3756|48532|NSP 1|Loan|6500000
376|48890|City Capital|Loan|232515
507|48686|City Capital|Loan|5254590
515|49103|City Capital|Loan|1744817
517|49103|421-a Fund|Loan|3295183
520|48754|HOME|Loan|1120795
521|48754|City Capital|Loan|58989
524|48896|Reso A|Loan|75000
534|48889|City Capital|Loan|2000000
536|48889|Reso A|Loan|2000000
538|48660|City Capital|Loan|5024659
545|48625|City Capital|Loan|3064015
548|48632|City Capital|Loan|6809168
2345|47883|City Capital|Loan|416137
557|48634|City Capital|Loan|3753156
560|48897|City Capital|Loan|559999
564|47772|City Capital|Loan|1365000
565|48788|City Capital|Loan|282452
568|48657|421-a Fund|Loan|5757148
571|48902|City Capital|Loan|279968
574|48895|City Capital|Loan|1758770
575|48752|City Capital|Loan|1627267
1331|48125|City Capital|Loan|7140000
3454|48125|4% Tax Credit Equity|LIHTC Equity|13713805
2422|47921|City Capital|Loan|195599
1565|47921|HOME|Loan|6804401
4395|47921|4% Tax Credit Equity|LIHTC Equity|21226141
739|48726|City Capital|Loan|45700000
745|49143|City Capital|Loan|22300000
753|46299|HOME|Loan|2314490
754|46299|City Capital|Loan|1195010
761|47805|Reso A|Loan|1500000
766|47805|421-a Fund|Loan|10879312
774|49534|Reso A|Loan|1500000
782|49534|421-a Fund|Loan|4900776
786|48003|City Capital|Loan|1400000
787|48003|Reso A|Loan|2650000
790|48003|421-a Fund|Loan|7200000
2249|44275|City Capital|Loan|315000
1959|44275|Reso A|Loan|1500000
799|44369|HOME|Loan|1166000
800|44369|City Capital|Loan|1166000
807|44258|HOME|Loan|1038500
812|44362|City Capital|Loan|6699866
814|44362|Reso A|Loan|4000000
2146|45142|Reso A|Loan|500000
2436|45142|City Capital|Loan|120000
2801|45142|9% Tax Credit Equity|LIHTC Equity|6174251
1579|45142|HOME|Loan|5160000
827|48771|City Capital|Loan|6739000
841|46076|City Capital|Loan|6747120
853|45301|City Capital|Loan|6201648
854|45301|Reso A|Loan|750000
2431|44345|City Capital|Loan|8940002
4404|44345|4% Tax Credit Equity|LIHTC Equity|10710000
861|45677|HOME|Loan|6840000
2397|47843|City Capital|Loan|8141991
1540|47843|HOME|Loan|2350000
4370|47843|4% Tax Credit Equity|LIHTC Equity|5584081
2407|48414|City Capital|Loan|512686
2278|48423|City Capital|Loan|540590
1769|48425|City Capital|Loan|65726
2312|48514|City Capital|Loan|938158
2311|48515|City Capital|Loan|1184925
2383|48540|City Capital|Loan|2450000
4356|48540|4% Tax Credit Equity|LIHTC Equity|3419776
1336|47477|City Capital|Loan|8350000
3459|47477|4% Tax Credit Equity|LIHTC Equity|20664644
1308|45336|HOME|Loan|2336681
3054|45336|Reso A|Loan|575000
3431|45336|NSP 1|Loan|1063318
4797|45336|NSP 2|Loan|1063318
3705|45336|9% Tax Credit Equity|LIHTC Equity|12463000
2134|44349|Reso A|Loan|750000
2424|44349|City Capital|Loan|3912484
1567|44349|HOME|Loan|2447516
4397|44349|4% Tax Credit Equity|LIHTC Equity|14433001
2248|44336|City Capital|Loan|8460000
3478|44336|4% Tax Credit Equity|LIHTC Equity|19195590
2163|45990|Reso A|Loan|2500000
2453|45990|City Capital|Loan|1400000
1596|45990|HOME|Loan|2500000
3213|45990|NSP 1|Loan|1350000
4426|45990|4% Tax Credit Equity|LIHTC Equity|12153544
4579|45990|NSP 2|Loan|1350000
2371|44320|City Capital|Loan|6318326
1514|44320|HOME|Loan|1996174
4344|44320|4% Tax Credit Equity|LIHTC Equity|18533163
2400|44403|City Capital|Loan|5611939
1543|44403|HOME|Loan|2447516
4373|44403|4% Tax Credit Equity|LIHTC Equity|21736601
2283|44544|City Capital|Loan|125000
2648|44544|9% Tax Credit Equity|LIHTC Equity|6140230
1426|44544|HOME|Loan|4355000
3787|44544|NSP 1|Loan|1520000
5249|44544|NSP 2|Loan|1520000
2912|44377|9% Tax Credit Equity|LIHTC Equity|4587709
1690|44377|HOME|Loan|2625000
1787|44377|City Capital|Loan|125000
2403|45206|City Capital|Loan|3500000
1546|45206|HOME|Loan|2078742
4376|45206|4% Tax Credit Equity|LIHTC Equity|626220
596|49281|City Capital|Loan|3611631
604|49455|HOME|Loan|826000
605|49455|City Capital|Loan|1564495
612|48640|HOME|Loan|5375000
615|48049|HOME|Loan|1700000
616|48049|City Capital|Loan|1086350
631|48626|City Capital|Loan|3734428
636|47861|City Capital|Loan|230728
637|48704|City Capital|Loan|627374
640|48748|HODAG Program Income|Loan|69600
1854|48745|City Capital|Loan|92290
1864|48738|City Capital|Loan|103620
865|48641|HOME|Loan|6875000
867|45223|HOME|Loan|4413310
873|48735|City Capital|Loan|5351889
876|48937|City Capital|Loan|1702210
879|48928|Reso A|Loan|1000000
886|44306|Reso A|Loan|1415000
895|44888|HOME|Loan|2000000
903|48013|City Capital|Loan|7375324
925|49026|City Capital|Loan|400000
926|48621|City Capital|Loan|3197959
2592|48510|9% Tax Credit Equity|LIHTC Equity|7691038
1334|48510|City Capital|Loan|991556
1370|48510|HOME|Loan|2609754
391|47850|City Capital|Loan|2457000
397|47767|City Capital|Loan|4218339
2262|47914|City Capital|Loan|1701141
1809|45846|City Capital|Loan|67431
2332|45852|City Capital|Loan|1570300
2042|45852|Reso A|Loan|6059700
2291|45862|City Capital|Loan|3291293
2305|45863|City Capital|Loan|5390788
2335|45872|City Capital|Loan|5258870
1478|45872|HOME|Loan|1752957
2581|45884|9% Tax Credit Equity|LIHTC Equity|14400246
1799|45887|City Capital|Loan|623755
1763|45889|City Capital|Loan|792702
1778|45890|City Capital|Loan|1373475
1339|45894|City Capital|Loan|924177
1321|45902|City Capital|Loan|765000
2310|45906|City Capital|Loan|320492
2348|45908|City Capital|Loan|610152
2325|45909|City Capital|Loan|528380
2318|45924|City Capital|Loan|502750
1461|45924|HOME|Loan|1508242
576|48254|City Capital|Loan|2558598
578|48254|Reso A|Loan|500000
622|44303|HOME|Loan|3315000
623|44303|Reso A|Loan|2750000
2328|48444|City Capital|Loan|332171
1978|48783|Reso A|Loan|2500000
486|49058|City Capital|Loan|312010
660|48639|HOME|Loan|8240000
661|48639|Reso A|Loan|2000000
701|48678|City Capital|Loan|369982
712|48676|City Capital|Loan|105000
2368|47880|City Capital|Loan|228065
2461|47844|City Capital|Loan|2749867
510|48683|City Capital|Loan|1285542
525|48886|City Capital|Loan|1514928
2256|48809|City Capital|Loan|205979
561|48760|City Capital|Loan|113135
562|48760|Reso A|Loan|250000
572|47862|City Capital|Loan|1295000
726|48909|HOME|Loan|5100500
2985|44807|Reso A|Loan|2300000
1842|44807|City Capital|Loan|6060000
3944|44807|4% Tax Credit Equity|LIHTC Equity|5848739
796|44249|421-a Fund|Loan|1062515
846|45280|HOME|Loan|2200000
847|45280|City Capital|Loan|400000
849|45280|Purchase Money Mortgage|Loan|1408804
3453|48559|4% Tax Credit Equity|LIHTC Equity|5148678
2420|44366|City Capital|Loan|125000
2785|44366|9% Tax Credit Equity|LIHTC Equity|8359449
1563|44366|HOME|Loan|10750000
607|45675|HOME|Loan|4475000
625|49481|HOME|Loan|4095000
643|48746|HODAG Program Income|Loan|164941
881|49067|Reso A|Grant|121000
2336|44812|City Capital|Loan|1746020
3566|44812|4% Tax Credit Equity|LIHTC Equity|8299391
1479|44812|HOME|Loan|1793980
2046|44812|Reso A|Loan|1050000
1003|49248|HOME|Loan|1026000
1004|49248|City Capital|Loan|574830
1005|49248|Reso A|Loan|1000000
1285|47967|HOME|Loan|258296
1888|47967|City Capital|Loan|664191
6164|89|4% Tax Credit Equity|LIHTC Equity|5178662
2131|43129|Reso A|Loan|2000000
2421|43129|City Capital|Loan|175088
1564|43129|HOME|Loan|1501045
2463|43187|City Capital|Loan|293686
2292|43214|City Capital|Loan|809943
3055|43791|Reso A|Loan|1000000
3706|43791|9% Tax Credit Equity|LIHTC Equity|6494400
3888|44894|4% Tax Credit Equity|LIHTC Equity|1173998
6125|125|4% Tax Credit Equity|LIHTC Equity|25501309
6124|124|4% Tax Credit Equity|LIHTC Equity|4999071
6121|126|4% Tax Credit Equity|LIHTC Equity|6698349
6120|127|4% Tax Credit Equity|LIHTC Equity|6891731
6457|48877|City Capital|Loan|12062927
2379|44998|City Capital|Loan|125000
2744|44998|9% Tax Credit Equity|LIHTC Equity|11762729
1522|44998|HOME|Loan|11755000
2602|45676|9% Tax Credit Equity|LIHTC Equity|12546454
1344|45676|City Capital|Loan|125000
1380|45676|HOME|Loan|8675000
1976|48356|Reso A|Loan|849000
2334|48287|City Capital|Loan|3984536
1477|48287|HOME|Loan|1305279
1504|45998|HOME|Loan|1828015
3121|45998|NSP 1|Loan|1610814
5327|45998|NSP 2|Loan|1610814
1780|47769|City Capital|Loan|80315
2372|47825|City Capital|Loan|562972
2169|44255|Reso A|Loan|6250000
2459|44255|City Capital|Loan|4450000
2824|44255|9% Tax Credit Equity|LIHTC Equity|36868364
2275|45781|City Capital|Loan|3637034
2640|45781|9% Tax Credit Equity|LIHTC Equity|26880464
1418|45781|HOME|Loan|2362966
2611|45001|9% Tax Credit Equity|LIHTC Equity|9817865
1353|45001|City Capital|Loan|125000
1389|45001|HOME|Loan|7500000
1956|45001|Reso A|Loan|500000
2819|45317|9% Tax Credit Equity|LIHTC Equity|8860814
1597|45317|HOME|Loan|1645981
2503|45820|City Capital|Loan|428304
2868|45820|9% Tax Credit Equity|LIHTC Equity|6949876
1646|45820|HOME|Loan|5500000
909|48899|Reso A|Loan|3000000
2398|43190|City Capital|Loan|212226
6119|128|4% Tax Credit Equity|LIHTC Equity|7535267
6117|133|4% Tax Credit Equity|LIHTC Equity|15238957
1342|39397|City Capital|Loan|2252096
1945|39397|Reso A|Loan|500000
1214|48002|City Capital|Loan|1452479
1218|48002|Reso A|Loan|4000000
2471|44454|City Capital|Loan|6480000
4444|44454|4% Tax Credit Equity|LIHTC Equity|11201060
1800|45888|City Capital|Loan|890588
2316|45907|City Capital|Loan|1229995
478|47960|City Capital|Loan|11176061
482|47960|Purchase Money Mortgage|Loan|2335887
2414|45915|City Capital|Loan|217958
1239|48132|HOME|Loan|1900000
1240|48132|City Capital|Loan|2285000
1242|48132|Reso A|Loan|1000000
522|48794|HOME|Loan|901066
523|48794|City Capital|Loan|2636452
6200|59|4% Tax Credit Equity|LIHTC Equity|1901254
6199|60|4% Tax Credit Equity|LIHTC Equity|15835738
6198|62|4% Tax Credit Equity|LIHTC Equity|1154957
6195|64|4% Tax Credit Equity|LIHTC Equity|6162624
6184|74|4% Tax Credit Equity|LIHTC Equity|13392654
932|48644|HOME|Loan|7560000
940|48012|HOME|Loan|4940000
946|50156|City Capital|Loan|6750000
950|50156|421-a Fund|Loan|1500000
955|49338|City Capital|Loan|3620000
956|49338|Reso A|Loan|3600000
960|49338|421-a Fund|Loan|4000000
966|50407|City Capital|Loan|18720000
979|50205|City Capital|Loan|18830000
984|49173|HOME|Loan|3625000
985|49173|City Capital|Loan|250000
987|49173|Reso A|Loan|750000
1012|45265|City Capital|Loan|3476476
6461|49171|City Capital|Loan|5500000
2750|48533|9% Tax Credit Equity|LIHTC Equity|9281972
4981|48533|NSP 3|Loan|3400000
6486|134|9% Tax Credit Equity|LIHTC Equity|11321377
6473|135|4% Tax Credit Equity|LIHTC Equity|6119610
6472|136|4% Tax Credit Equity|LIHTC Equity|9445662
