ProjectID|BuildingID|AffordabilityBand|TotalUnits
47933|60420|Other|1
47933|60424|Low Income|22
47933|60438|Low Income|65
47933|60438|Other|1
47933|96793|Low Income|6
47933|60440|Low Income|42
47933|60440|Other|1
48380|62749|Low Income|144
48380|62749|Other|1
48305|58942|Low Income|6
48305|58947|Low Income|15
48305|58964|Low Income|13
48305|58945|Low Income|11
48305|58949|Low Income|15
47799|52016|Low Income|48
47799|52016|Moderate Income|6
47799|52016|Other|1
47821|80016|Low Income|54
47821|87883|Low Income|17
47821|87883|Moderate Income|1
47821|87890|Low Income|22
47821|87892|Low Income|22
47821|108736|Low Income|19
47821|108737|Low Income|19
47821|108737|Moderate Income|1
47821|108738|Low Income|28
47821|53803|Low Income|48
47821|77397|Low Income|10
47821|90953|Low Income|48
47821|90953|Moderate Income|
47821|87860|Low Income|29
47821|87860|Moderate Income|
47821|77391|Low Income|29
47821|110410|Low Income|66
47821|110410|Moderate Income|3
47865|65635|Low Income|20
47865|92453|Low Income|66
47865|92453|Other|1
48452|64613|Low Income|16
48452|62343|Low Income|15
48452|62343|Other|1
48452|64614|Low Income|16
47774|83655|Low Income|74
47774|83655|Other|1
47775|107505|Low Income|33
47775|107505|Moderate Income|20
47775|107505|Other|2
48633|85076|Moderate Income|2
47886|5378|Low Income|71
47886|5378|Other|1
48365|25115|Low Income|20
48873|941823|Low Income|1
48873|941823|Moderate Income|1
48873|941824|Low Income|1
48873|941824|Moderate Income|1
48873|941825|Low Income|1
48873|941825|Moderate Income|1
48873|941826|Low Income|2
48873|941827|Low Income|2
48873|941828|Low Income|2
48873|941829|Low Income|2
48873|941830|Low Income|2
48873|941831|Low Income|2
48873|941832|Low Income|2
49139|547690|Moderate Income|1
48884|12002|Low Income|134
48884|12002|Middle Income|1
48884|12002|Moderate Income|3
47945|295976|Low Income|3
47945|295976|Moderate Income|4
48888|8119|Low Income|19
48888|8119|Other|1
48887|57693|Low Income|17
48910|946091|Low Income|78
48910|946091|Other|1
48755|72098|Moderate Income|108
49270|947270|Low Income|36
49270|947270|Other|1
48733|386227|Low Income|7
49517|945811|Low Income|94
49517|945811|Other|1
48892|53714|Low Income|11
48891|88316|Low Income|27
49275|394700|Low Income|100
49275|394700|Moderate Income|20
49275|809816|Low Income|98
49275|809816|Moderate Income|22
49275|809817|Low Income|98
49275|809817|Moderate Income|22
48744|373695|Low Income|7
48623|355158|Low Income|8
48730|118661|Low Income|12
49272|944498|Low Income|10
49272|944498|Not Applicable|81
48681|375409|Low Income|8
48681|375409|Middle Income|2
48681|375410|Low Income|9
48681|340340|Low Income|6
48681|340340|Middle Income|2
48681|375411|Low Income|9
49060|52764|Low Income|19
49060|52764|Other|1
49060|95625|Low Income|4
49060|64309|Low Income|6
49060|64260|Low Income|4
49060|64510|Low Income|16
48685|332710|Low Income|4
48685|317155|Low Income|9
48685|346837|Low Income|7
48685|381637|Low Income|3
48685|330794|Low Income|8
48685|346832|Low Income|11
48685|346832|Other|1
44865|929205|Low Income|65
46264|942271|Low Income|12
46264|942271|Not Applicable|38
48739|942254|Low Income|18
46262|941223|Low Income|7
46262|941223|Not Applicable|62
49273|944527|Low Income|46
49273|944527|Other|1
48555|940434|Low Income|44
48555|940434|Not Applicable|166
49576|945948|Low Income|68
49576|945948|Other|1
48743|942270|Low Income|127
48743|942270|Not Applicable|489
44420|946583|Low Income|45
44420|946583|Other|1
48690|744417|Low Income|43
49070|357675|Low Income|3
49070|359775|Low Income|7
49070|357669|Low Income|5
49070|334864|Low Income|4
49070|357634|Low Income|6
49070|357677|Low Income|13
49070|213832|Low Income|9
48677|58929|Low Income|12
48677|806497|Low Income|8
48677|58933|Low Income|8
48677|806394|Low Income|8
47838|308509|Low Income|2
47838|378847|Low Income|8
47838|321654|Low Income|4
47838|321766|Low Income|6
47838|322621|Low Income|3
47838|322622|Low Income|3
47838|357508|Low Income|8
47838|379255|Low Income|7
47838|322548|Low Income|2
48689|36448|Low Income|201
48689|36448|Other|1
48415|32960|Low Income|281
48765|85441|Low Income|21
48765|313693|Low Income|32
48765|28118|Low Income|10
48765|822049|Low Income|80
48765|24535|Low Income|34
48765|28116|Low Income|11
48765|85438|Low Income|21
48765|313692|Moderate Income|28
48765|42524|Low Income|24
48765|28117|Low Income|11
48765|26937|Low Income|17
48765|19049|Low Income|8
48765|19048|Low Income|8
48765|19506|Low Income|21
48765|309680|Low Income|24
47770|10596|Low Income|7
47824|49684|Low Income|26
47826|26271|Low Income|10
47826|18849|Low Income|10
47826|18848|Low Income|37
47826|18848|Other|1
44423|927243|Low Income|3
44423|927530|Low Income|12
44423|927206|Low Income|8
44423|939774|Low Income|3
44423|939775|Low Income|3
47822|38611|Low Income|10
47822|38612|Low Income|10
47822|38614|Low Income|3
47822|38617|Low Income|4
47822|38563|Low Income|10
47822|38565|Low Income|10
47822|38567|Low Income|10
47822|38569|Low Income|10
47822|3980|Low Income|8
47873|37822|Low Income|30
47873|37774|Low Income|10
47873|37776|Low Income|30
47866|324898|Low Income|36
47867|221554|Low Income|78
47867|221554|Other|1
48126|109776|Low Income|59
48126|92380|Low Income|46
48126|109777|Low Income|59
48126|53579|Low Income|53
48126|53579|Other|1
48126|92381|Low Income|45
48126|109647|Low Income|59
48126|806951|Low Income|58
48126|806951|Other|1
48126|77341|Low Income|28
47882|86426|Low Income|20
47882|122045|Low Income|10
47882|122045|Other|1
47882|118492|Low Income|12
47882|118491|Low Income|20
47882|53641|Low Income|20
47882|53592|Low Income|24
47882|806557|Low Income|19
47882|118477|Low Income|20
47882|65627|Low Income|12
47882|65627|Other|1
47882|118468|Low Income|19
47882|118468|Other|1
47882|53632|Low Income|22
47882|53632|Other|1
47882|110075|Low Income|15
47882|53644|Low Income|5
47882|122047|Low Income|9
47882|122047|Other|1
47882|53736|Low Income|37
47882|53736|Other|1
47882|65626|Low Income|16
47882|65630|Low Income|12
47882|118489|Low Income|20
47882|118489|Other|1
47882|53737|Low Income|42
44373|927009|Low Income|123
44373|927009|Other|1
45961|938859|Low Income|77
45961|938859|Not Applicable|309
48086|939397|Low Income|13
48086|939397|Not Applicable|52
47831|5611|Low Income|8
47831|5613|Low Income|8
47831|41631|Low Income|8
47831|5614|Low Income|8
47831|5618|Low Income|12
48390|224175|Low Income|4
48390|224168|Low Income|7
48390|224181|Low Income|4
48390|224220|Low Income|2
48390|224173|Low Income|8
48390|224188|Low Income|3
48060|396401|Low Income|9
48060|396399|Low Income|9
48060|387005|Low Income|4
48060|396432|Low Income|4
48060|396403|Low Income|9
48060|381509|Low Income|19
48060|381509|Other|1
47798|22711|Low Income|23
48521|42593|Low Income|49
48521|42593|Other|1
48532|314148|Low Income|31
48532|314148|Other|1
48532|334829|Low Income|8
48532|334829|Other|
48532|218996|Low Income|8
48532|218996|Other|
48532|314056|Low Income|8
48532|314056|Other|
48532|330074|Low Income|8
48532|330074|Other|
48532|338749|Low Income|8
48532|338749|Other|
48532|321730|Low Income|8
48532|321730|Other|
48532|295766|Low Income|8
48532|295766|Other|
48532|317655|Low Income|8
48532|317655|Other|
48532|357588|Low Income|8
48532|357588|Other|
48532|354897|Low Income|8
48532|354897|Other|
48532|207338|Low Income|8
48532|207338|Other|
48532|357943|Low Income|8
48532|357943|Other|
48532|331346|Low Income|8
48532|331346|Other|
48532|308808|Low Income|8
48532|308808|Other|
48532|222613|Low Income|8
48532|222613|Other|
48532|809139|Low Income|24
48532|809566|Low Income|16
48532|808474|Low Income|8
48532|808474|Other|
48532|335134|Low Income|8
48532|335134|Other|
48532|333160|Low Income|8
48532|333160|Other|
48890|59889|Low Income|45
49628|20629|Low Income|254
49628|20629|Other|1
49569|20765|Low Income|156
49569|20765|Other|1
48686|32921|Low Income|307
48686|32921|Other|1
49103|59514|Low Income|58
49103|59514|Moderate Income|13
49103|59514|Other|1
48754|865282|Low Income|68
48754|865282|Other|1
48896|216940|Low Income|135
48766|118500|Low Income|37
48766|89105|Low Income|29
48766|93706|Low Income|53
48766|109403|Low Income|71
48766|109403|Other|1
48766|65697|Low Income|38
48766|118495|Low Income|37
48766|118502|Low Income|36
48766|118502|Other|1
48766|85558|Low Income|37
48766|118497|Low Income|37
48766|118493|Low Income|37
48889|809794|Low Income|318
48889|809804|Low Income|312
48889|342209|Low Income|318
48889|809803|Low Income|314
48889|809793|Low Income|314
48660|74399|Low Income|8
48660|74399|Other|1
48660|65832|Low Income|24
48660|48245|Low Income|15
48660|65833|Low Income|23
48660|65833|Other|1
48660|119798|Low Income|34
48660|119759|Low Income|8
48625|362389|Low Income|19
48625|339245|Low Income|8
48625|338754|Low Income|19
48625|338754|Other|1
48625|232147|Low Income|4
48625|849296|Low Income|31
48625|849296|Other|1
48632|5374|Low Income|24
48632|5376|Low Income|25
48632|5379|Low Income|24
48632|5379|Moderate Income|1
48632|5381|Low Income|25
48632|5381|Other|1
47883|321688|Low Income|3
47883|321682|Low Income|13
47883|306149|Low Income|6
47883|306147|Low Income|6
47883|321678|Low Income|12
44350|928130|Low Income|60
44350|928130|Other|1
48634|5380|Low Income|21
48634|5380|Moderate Income|4
48634|5380|Other|1
48634|803993|Low Income|25
48897|8023|Low Income|16
47772|9980|Low Income|39
48788|9827|Low Income|12
48657|115745|Low Income|69
48657|88530|Low Income|59
48657|88530|Other|1
48657|88527|Low Income|49
48657|118659|Low Income|10
48902|88267|Low Income|15
48895|57674|Low Income|12
48895|806382|Low Income|12
48895|806379|Low Income|12
48895|806380|Low Income|12
48895|806383|Low Income|12
48895|806381|Low Income|12
48895|806384|Low Income|12
48752|110157|Low Income|137
48125|62692|Low Income|71
48125|62692|Other|1
48125|806463|Low Income|36
48125|52695|Low Income|24
48125|806617|Low Income|24
48125|814549|Low Income|24
48125|830339|Low Income|23
48125|830339|Other|1
47921|943824|Low Income|175
47921|943824|Other|1
48726|947852|Low Income|124
48726|947852|Middle Income|494
48726|947852|Other|1
49143|945536|Low Income|62
49143|945536|Middle Income|244
46299|936841|Low Income|86
46299|936841|Other|1
47805|59179|Low Income|28
47805|59207|Low Income|29
47805|59207|Other|1
47805|59205|Low Income|37
47805|806404|Low Income|26
47805|806404|Other|1
49534|945858|Low Income|83
49534|945858|Other|1
48003|927001|Low Income|119
48003|927001|Other|1
44275|927186|Low Income|23
44275|927186|Other|1
44369|943963|Low Income|7
44369|927815|Low Income|14
44369|927816|Low Income|6
44369|927816|Other|1
44369|927814|Low Income|16
44258|928027|Low Income|10
44258|927117|Low Income|8
44258|928029|Low Income|8
44258|928028|Low Income|5
44362|947316|Low Income|133
44362|947316|Other|1
45142|936185|Low Income|44
48771|50377|Low Income|20
48771|64911|Low Income|15
48771|64901|Low Income|15
48771|120457|Low Income|11
48771|116817|Low Income|25
48771|113800|Low Income|18
48771|56847|Low Income|12
48771|50382|Low Income|20
48771|806680|Low Income|24
48771|120450|Low Income|8
48771|116824|Low Income|21
48771|120458|Low Income|10
48771|116827|Low Income|22
48771|806301|Low Income|16
48771|64974|Low Income|20
48771|806302|Low Income|17
48771|56602|Low Income|12
48771|120452|Low Income|7
46076|934663|Low Income|134
46076|934663|Other|1
48772|928127|Low Income|64
48772|944106|Low Income|63
48772|944106|Other|1
48772|944105|Low Income|47
45301|945740|Low Income|88
45301|945740|Other|1
44345|927118|Low Income|33
44345|927118|Moderate Income|92
44345|927118|Other|1
45677|935209|Low Income|71
45677|935209|Other|1
47843|85570|Low Income|18
47843|85570|Other|1
47843|806755|Low Income|20
47843|806755|Other|1
47843|806756|Low Income|20
47843|806756|Other|1
47843|92541|Low Income|18
47843|92541|Other|1
48414|357108|Low Income|11
48414|374758|Low Income|8
48414|388891|Low Income|7
48414|357086|Low Income|7
48414|357086|Other|1
48423|208138|Low Income|12
48423|346868|Low Income|6
48423|349494|Low Income|5
48423|349496|Low Income|6
48423|349496|Other|1
48425|43065|Low Income|12
48425|43065|Other|1
48514|205788|Low Income|6
48514|377014|Low Income|16
48514|377017|Low Income|16
48514|377021|Low Income|16
48514|364924|Low Income|16
48514|221348|Low Income|19
48515|339832|Low Income|20
48515|808872|Low Income|32
48515|339839|Low Income|30
48540|108503|Low Income|97
48540|108503|Other|1
47477|939239|Low Income|80
47477|939239|Not Applicable|20
47477|939239|Other|1
47477|939251|Low Income|79
47477|939251|Not Applicable|20
47477|939251|Other|1
45336|937164|Low Income|48
45336|937164|Other|1
44349|927224|Low Income|73
44349|927743|Low Income|32
44349|927743|Other|1
44336|927188|Low Income|51
44336|927855|Low Income|54
44336|927856|Low Income|35
44336|927856|Other|1
45990|952434|Low Income|106
45990|952434|Other|1
44320|926978|Low Income|142
44320|926978|Other|1
44403|932936|Low Income|154
44403|932936|Other|1
44544|928019|Low Income|47
44544|928019|Other|1
44377|927011|Low Income|21
44377|927011|Other|1
45206|940450|Low Income|139
45206|940450|Other|1
45578|25214|Low Income|9
45578|25214|Middle Income|47
45578|25214|Other|1
49281|944555|Low Income|13
49281|550156|Low Income|9
49455|42407|Low Income|6
49455|42407|Moderate Income|14
49010|346924|Low Income|2
49939|529728|Moderate Income|1
48640|945034|Low Income|43
48049|41031|Low Income|5
48049|42401|Low Income|11
48049|38114|Low Income|9
48049|38114|Other|1
48049|2630|Low Income|20
48049|2630|Moderate Income|4
48049|28357|Low Income|10
48626|363723|Low Income|5
48626|363723|Moderate Income|3
48626|214946|Low Income|3
48626|214946|Moderate Income|5
48626|197987|Low Income|4
48626|197987|Moderate Income|4
48626|359983|Moderate Income|2
49285|947478|Low Income|16
49285|947478|Not Applicable|62
47861|396594|Low Income|8
48704|63982|Low Income|21
48704|806523|Low Income|31
48704|57040|Low Income|24
48704|57048|Low Income|11
48748|381140|Low Income|6
48745|326394|Low Income|7
48745|326394|Moderate Income|2
48738|373715|Low Income|8
48641|946834|Low Income|55
45223|934780|Low Income|50
45223|934780|Other|1
45223|943249|Low Income|70
48735|39110|Moderate Income|8
48735|39419|Low Income|6
48735|39419|Moderate Income|12
48735|39419|Other|1
48735|20752|Low Income|10
48735|20752|Moderate Income|7
48735|1327|Low Income|4
48735|1327|Moderate Income|5
48937|21460|Middle Income|6
48937|21460|Moderate Income|13
48928|806388|Moderate Income|313
48928|97290|Low Income|26
48928|97290|Moderate Income|287
48928|109464|Moderate Income|312
48928|806181|Moderate Income|312
48928|806390|Moderate Income|314
48928|806389|Moderate Income|314
49276|944544|Low Income|12
44306|926973|Low Income|7
44888|949804|Low Income|114
44888|949804|Other|1
48013|60013|Low Income|24
48013|60014|Low Income|19
48013|60014|Other|1
48013|59349|Low Income|4
48013|60061|Low Income|16
48013|60061|Other|1
49391|945214|Low Income|50
49391|945214|Not Applicable|325
48929|949024|Low Income|75
48929|949024|Not Applicable|300
49026|85641|Low Income|21
49026|85641|Moderate Income|3
49026|85641|Other|1
48621|120994|Low Income|39
48621|120994|Other|1
48621|120999|Low Income|21
48621|100201|Low Income|4
48543|10700|Low Income|33
48543|10700|Other|1
48510|52792|Low Income|17
48510|52792|Middle Income|3
48510|52792|Other|1
48510|65086|Low Income|7
48510|65086|Middle Income|1
48510|65086|Other|1
48510|45442|Low Income|8
48510|45442|Other|1
48510|120933|Low Income|8
48510|120933|Other|1
47850|63568|Low Income|8
47850|63568|Moderate Income|2
47850|63567|Low Income|10
47850|63567|Other|1
47767|70285|Low Income|6
47767|70285|Other|1
47767|70287|Low Income|7
47767|70671|Low Income|6
47767|49424|Low Income|15
47767|49429|Low Income|18
47767|49429|Other|1
47914|76119|Low Income|42
47914|76119|Other|1
49909|498639|Moderate Income|1
45846|363821|Low Income|7
45852|934040|Middle Income|91
45852|934040|Moderate Income|17
45852|934040|Other|9
45862|19873|Low Income|8
45862|7982|Low Income|22
45862|7982|Other|1
45863|185926|Low Income|34
45863|185926|Other|1
45872|46461|Low Income|46
45872|46461|Other|1
45872|115803|Low Income|57
45872|115803|Moderate Income|1
45872|115803|Other|2
45872|60294|Low Income|38
45872|60294|Moderate Income|2
45872|110491|Low Income|11
45872|110491|Moderate Income|3
45872|110491|Other|1
45872|110178|Low Income|26
45872|110178|Other|1
45872|58941|Low Income|29
45872|58941|Other|1
45872|62715|Low Income|43
45872|62715|Moderate Income|4
45872|62715|Other|1
45872|91414|Low Income|43
45872|91414|Moderate Income|1
45872|91414|Other|1
45884|950092|Low Income|50
45884|950092|Other|1
45887|117126|Low Income|24
45887|117126|Other|1
45889|66409|Low Income|16
45889|117118|Low Income|11
45890|65171|Low Income|41
45890|65171|Other|1
45894|3389|Low Income|16
45894|3389|Other|3
45894|803864|Low Income|10
45894|803864|Other|2
45902|810143|Low Income|12
45902|810125|Low Income|9
45902|810123|Low Income|12
45902|810124|Low Income|12
45902|368730|Low Income|6
45906|64751|Low Income|8
45906|64750|Low Income|8
45906|64752|Low Income|11
45908|20397|Low Income|4
45908|19638|Low Income|3
45908|20135|Low Income|13
45908|1311|Low Income|3
45908|24098|Low Income|16
45908|1323|Low Income|9
45908|19787|Low Income|10
45908|19808|Low Income|3
45908|19799|Low Income|4
45908|19793|Low Income|5
45909|1225|Low Income|3
45909|19410|Low Income|8
45909|19573|Low Income|18
45909|1222|Low Income|4
45909|19024|Low Income|5
45909|19381|Low Income|8
45924|373816|Middle Income|29
45924|373816|Moderate Income|3
45924|373816|Other|1
45924|373821|Middle Income|29
45924|373821|Moderate Income|3
45924|373827|Middle Income|30
45924|373827|Moderate Income|3
45924|373827|Other|1
44254|927951|Low Income|60
44254|927951|Middle Income|237
44254|948422|Low Income|49
44254|948422|Middle Income|193
44254|948422|Other|1
44254|926998|Low Income|141
44254|926998|Middle Income|2
44254|926998|Other|555
50568|514177|Moderate Income|1
48254|316613|Low Income|12
48254|316613|Middle Income|6
44303|927939|Low Income|50
44303|927939|Other|1
48444|307978|Low Income|6
48444|327776|Low Income|12
48783|379365|Low Income|52
48783|379365|Moderate Income|87
48783|809753|Moderate Income|128
49058|64797|Low Income|68
48639|945946|Low Income|154
48639|945946|Other|1
49575|945947|Low Income|64
49575|945947|Other|1
48678|125023|Low Income|7
48678|940965|Low Income|3
48678|58930|Low Income|4
48678|58944|Low Income|10
48678|88544|Low Income|8
48676|42815|Low Income|11
48676|42815|Middle Income|9
48676|42813|Low Income|14
48676|42813|Middle Income|1
48676|42818|Low Income|17
48676|42818|Middle Income|3
47880|37823|Low Income|13
47880|805824|Low Income|10
47880|805825|Low Income|9
47880|37761|Low Income|10
46061|936478|Low Income|114
46061|936478|Not Applicable|576
47844|63058|Low Income|10
47844|44886|Low Income|13
47844|44886|Other|1
48683|18986|Low Income|36
48683|18990|Low Income|33
48683|18990|Other|1
48886|66855|Low Income|26
48886|66855|Other|1
48886|66882|Low Income|10
48886|66882|Middle Income|1
48886|67110|Low Income|13
48886|67110|Other|1
48886|117124|Low Income|10
48886|117122|Low Income|10
48886|117114|Low Income|11
48886|51243|Low Income|48
48886|51243|Other|1
48809|392929|Low Income|16
48760|45408|Low Income|22
47862|112023|Low Income|36
47862|112023|Other|1
48909|947309|Low Income|100
48909|947309|Other|1
44807|930774|Low Income|20
44807|930774|Middle Income|43
44807|930774|Moderate Income|37
44807|930774|Other|1
44249|927160|Low Income|20
45280|935092|Low Income|140
45280|935092|Other|1
44241|927154|Moderate Income|3
44241|927760|Moderate Income|3
44241|927761|Moderate Income|3
44241|927762|Moderate Income|3
44241|927763|Moderate Income|3
44241|927764|Moderate Income|3
44241|942592|Moderate Income|3
44241|942593|Moderate Income|3
44241|943257|Moderate Income|3
44241|943259|Moderate Income|3
48559|940441|Low Income|37
48559|940441|Moderate Income|13
48559|804630|Low Income|37
48559|804630|Moderate Income|12
48559|804630|Other|1
44366|927961|Low Income|86
44366|927961|Other|1
45675|934659|Low Income|56
45675|934659|Other|1
49481|946226|Low Income|62
49481|946226|Other|1
48746|353050|Low Income|16
47652|939802|Low Income|65
47652|939802|Other|1
49067|64306|Low Income|44
50602|808434|Low Income|75
50602|808434|Other|1
50602|331239|Low Income|98
50602|331239|Other|1
50602|231421|Low Income|60
50602|231421|Other|1
50414|66368|Low Income|42
50414|118564|Low Income|38
50414|66360|Low Income|54
50414|118550|Low Income|45
50414|66361|Low Income|35
50414|66363|Low Income|40
50414|118563|Low Income|20
49931|306590|Moderate Income|2
44812|928895|Low Income|58
44812|928895|Other|1
49248|937485|Low Income|38
49248|937485|Other|1
47967|79712|Low Income|19
47967|79712|Other|1
47967|79714|Low Income|19
47967|79714|Other|1
77|19053|Low Income|48
84|4360|Low Income|2820
86|204866|Moderate Income|147
89|47748|Low Income|81
61|374984|Low Income|21
91|228500|Moderate Income|320
94|809873|Moderate Income|2585
76|808096|Low Income|534
78|110472|Low Income|84
43129|940244|Middle Income|6
43187|379784|Low Income|41
43214|921730|Low Income|4
43214|921709|Low Income|10
43214|921728|Low Income|10
43214|921726|Low Income|10
43214|921725|Low Income|24
43214|921727|Low Income|23
43214|921714|Low Income|10
43214|921724|Low Income|10
43791|924768|Low Income|41
44894|929413|Low Income|42
125|109774|Moderate Income|44
125|806947|Moderate Income|36
125|79220|Moderate Income|49
125|806679|Moderate Income|40
125|64661|Moderate Income|13
125|110199|Moderate Income|50
125|110200|Moderate Income|43
125|110203|Moderate Income|43
125|110204|Moderate Income|43
124|29276|Low Income|22
124|29276|Other|85
130|25262|Low Income|93
131|38590|Low Income|70
126|812395|Moderate Income|100
127|47164|Moderate Income|100
48877|951402|Middle Income|1
48877|950994|Middle Income|1
48877|951024|Low Income|1
48877|951031|Low Income|1
48877|951032|Moderate Income|1
48877|951033|Middle Income|1
48877|951034|Middle Income|1
48877|951035|Low Income|1
48877|951028|Middle Income|1
48877|951037|Low Income|1
48877|951039|Low Income|1
48877|951041|Low Income|1
48877|951043|Low Income|1
48877|951045|Low Income|1
48877|951047|Low Income|1
48877|951050|Moderate Income|1
48877|951052|Moderate Income|1
48877|951054|Middle Income|1
48877|951056|Middle Income|1
48877|951058|Middle Income|1
48877|951060|Middle Income|1
48877|951063|Middle Income|1
48877|951065|Middle Income|1
48877|951455|Moderate Income|1
48877|951067|Middle Income|1
48877|951069|Middle Income|1
48877|951071|Middle Income|1
48877|951073|Middle Income|1
48877|951076|Middle Income|1
48877|951079|Low Income|1
48877|951081|Low Income|1
48877|951083|Low Income|1
48877|951085|Moderate Income|1
48877|951087|Moderate Income|1
48877|951089|Moderate Income|1
48877|951091|Middle Income|1
48877|951093|Middle Income|1
48877|951095|Middle Income|1
48877|951097|Middle Income|1
48877|951099|Middle Income|1
48877|951101|Middle Income|1
48877|951103|Middle Income|1
48877|951105|Middle Income|1
48877|951107|Middle Income|1
48877|951318|Middle Income|1
48877|951319|Low Income|1
48877|951320|Low Income|1
48877|951321|Low Income|1
48877|951322|Low Income|1
48877|951323|Low Income|1
48877|951324|Low Income|1
48877|951325|Low Income|1
48877|951326|Low Income|1
48877|951327|Moderate Income|1
48877|951328|Moderate Income|1
48877|951329|Moderate Income|1
48877|951330|Moderate Income|1
48877|951331|Middle Income|1
48877|951332|Middle Income|1
48877|951333|Middle Income|1
48877|951334|Middle Income|1
48877|951335|Middle Income|1
48877|951336|Middle Income|1
48877|951337|Middle Income|1
48877|951338|Middle Income|1
48877|951339|Middle Income|1
48877|951387|Middle Income|1
48877|951388|Low Income|1
48877|951389|Low Income|1
48877|951390|Low Income|1
48877|951391|Low Income|1
48877|951392|Low Income|1
48877|951393|Moderate Income|1
48877|951394|Moderate Income|1
48877|951395|Moderate Income|1
48877|951396|Moderate Income|1
48877|951397|Middle Income|1
48877|951398|Middle Income|1
48877|951399|Middle Income|1
48877|951400|Middle Income|1
48877|951401|Middle Income|1
48518|677046|Moderate Income|1
48530|48075|Moderate Income|1
44998|939498|Low Income|98
44998|939498|Other|1
45676|933473|Low Income|80
48356|65052|Low Income|131
48356|65052|Other|1
48287|88571|Low Income|10
48287|58960|Low Income|23
48287|58960|Other|1
48287|62854|Low Income|11
48287|62854|Other|1
48287|60307|Low Income|35
48287|60307|Other|1
48287|110175|Low Income|34
48287|110175|Other|1
48287|110176|Low Income|34
48287|110176|Other|1
48287|63194|Low Income|27
48287|63194|Other|1
48287|91427|Low Income|30
48287|62858|Low Income|11
48287|88572|Low Income|10
45998|927801|Low Income|4
45998|935364|Low Income|4
45998|927802|Low Income|4
45998|935365|Low Income|4
45998|927809|Low Income|4
45998|927806|Low Income|3
45998|927808|Low Income|3
47769|313534|Low Income|6
47825|65034|Low Income|45
44255|18777|Low Income|89
44255|18777|Other|1
45781|935972|Low Income|110
45781|935972|Other|1
45001|937075|Low Income|60
45001|937075|Other|1
45317|932127|Low Income|33
45317|932127|Moderate Income|6
45317|932127|Other|1
49940|497296|Moderate Income|2
45820|11411|Low Income|44
45820|11411|Other|1
48899|4623|Low Income|186
48899|31596|Low Income|378
48899|805574|Low Income|378
48899|4360|Low Income|186
48899|4636|Low Income|378
48899|803934|Low Income|378
48899|805584|Low Income|378
48899|4371|Low Income|186
48899|805585|Low Income|186
48899|4633|Low Income|186
43190|227583|Low Income|5
43190|227585|Low Income|12
43190|316390|Low Income|5
43190|317934|Low Income|5
128|47173|Low Income|115
128|47173|Other|1
132|50475|Low Income|142
133|785118|Low Income|198
39397|807660|Low Income|135
39397|807687|Low Income|135
39397|199381|Low Income|133
39397|199381|Other|2
39397|807686|Low Income|135
48002|396200|Low Income|3
48002|340299|Low Income|5
48002|230079|Low Income|5
48002|210828|Low Income|3
48002|303867|Low Income|6
48002|303837|Low Income|5
48002|377625|Low Income|5
48002|302967|Low Income|5
48002|396127|Low Income|4
48002|398306|Low Income|2
48002|398316|Low Income|3
44454|921857|Low Income|109
